x,y,angle
0,-5,3.141592654
-0.049991771,-4.999744531,3.131617297
-0.099999322,-4.998986893,3.121619287
-0.149987106,-4.997729539,3.111621242
-0.199959615,-4.995972483,3.10162316
-0.249911917,-4.993715898,3.091625043
-0.299839022,-4.990960013,3.081626891
-0.349735941,-4.987705103,3.071628704
-0.39959769,-4.983951495,3.061630484
-0.449419286,-4.979699564,3.051632231
-0.499195751,-4.974949737,3.041633946
-0.548922113,-4.969702488,3.031635629
-0.598593403,-4.963958344,3.021637281
-0.648204657,-4.957717879,3.011638902
-0.697750919,-4.950981717,3.001640493
-0.747227238,-4.943750533,2.991642054
-0.79662867,-4.936025049,2.981643587
-0.845950279,-4.92780604,2.971645091
-0.895187136,-4.919094326,2.961646567
-0.944334322,-4.90989078,2.951648016
-0.993386925,-4.900196321,2.941649438
-1.042340043,-4.89001192,2.931650834
-1.091188785,-4.879338594,2.921652204
-1.13992827,-4.868177412,2.911653548
-1.188553626,-4.856529489,2.901654868
-1.237059995,-4.84439599,2.891656163
-1.285442528,-4.831778128,2.881657434
-1.333696392,-4.818677166,2.871658682
-1.381816763,-4.805094413,2.861659906
-1.429798833,-4.791031226,2.851661108
-1.477637806,-4.776489013,2.841662287
-1.525328902,-4.761469228,2.831663445
-1.572867354,-4.745973371,2.821664581
-1.620248412,-4.730002993,2.811665696
-1.667467339,-4.71355969,2.801666791
-1.714519417,-4.696645107,2.791667865
-1.761399944,-4.679260933,2.781668919
-1.808104233,-4.661408909,2.771669954
-1.854627617,-4.643090817,2.761670969
-1.900965447,-4.62430849,2.751671966
-1.94711309,-4.605063806,2.741672944
-1.993065934,-4.585358688,2.731673904
-2.038819387,-4.565195107,2.721674846
-2.084368876,-4.544575079,2.711675771
-2.129709847,-4.523500664,2.701676679
-2.17483777,-4.501973971,2.69167757
-2.219748132,-4.479997151,2.681678444
-2.264436446,-4.457572402,2.671679302
-2.308898245,-4.434701965,2.661680144
-2.353129085,-4.411388127,2.651680971
-2.397124544,-4.387633219,2.641681782
-2.440880225,-4.363439615,2.631682578
-2.484391754,-4.338809735,2.62168336
-2.527654782,-4.313746041,2.611684127
-2.570664985,-4.288251039,2.60168488
-2.613418063,-4.262327278,2.591685619
-2.655909743,-4.235977349,2.581686344
-2.698135778,-4.209203887,2.571687055
-2.740091945,-4.182009568,2.561687754
-2.781774053,-4.154397112,2.55168844
-2.823177933,-4.126369279,2.541689112
-2.864299447,-4.097928872,2.531689773
-2.905134485,-4.069078733,2.521690421
-2.945678964,-4.039821747,2.511691057
-2.985928832,-4.010160839,2.501691681
-3.025880065,-3.980098975,2.491692294
-3.065528669,-3.949639161,2.481692896
-3.104870681,-3.91878444,2.471693486
-3.143902168,-3.887537899,2.461694065
-3.182619228,-3.855902661,2.451694634
-3.221017991,-3.82388189,2.441695192
-3.259094617,-3.791478786,2.43169574
-3.296845302,-3.75869659,2.421696277
-3.33426627,-3.725538578,2.411696805
-3.371353781,-3.692008067,2.401697323
-3.408104128,-3.658108407,2.391697831
-3.444513636,-3.62384299,2.38169833
-3.480578665,-3.589215241,2.371698819
-3.516295611,-3.554228621,2.3616993
-3.551660902,-3.518886629,2.351699771
-3.586671002,-3.483192798,2.341700234
-3.621322413,-3.447150698,2.331700688
-3.65561167,-3.410763931,2.321701134
-3.689535344,-3.374036136,2.311701572
-3.723090044,-3.336970985,2.301702001
-3.756272417,-3.299572184,2.291702423
-3.789079143,-3.261843472,2.281702836
-3.821506944,-3.22378862,2.271703242
-3.853552578,-3.185411436,2.261703641
-3.885212841,-3.146715754,2.251704032
-3.916484567,-3.107705444,2.241704416
-3.94736463,-3.068384407,2.231704793
-3.977849944,-3.028756574,2.221705162
-4.007937459,-2.988825908,2.211705525
-4.037624169,-2.9485964,2.201705881
-4.066907104,-2.908072073,2.191706231
-4.095783339,-2.867256979,2.181706574
-4.124249985,-2.826155198,2.171706911
-4.152304196,-2.784770842,2.161707241
-4.179943168,-2.743108046,2.151707566
-4.207164137,-2.701170977,2.141707884
-4.233964383,-2.658963829,2.131708197
-4.260341225,-2.61649082,2.121708503
-4.286292026,-2.573756199,2.111708804
-4.311814192,-2.530764237,2.1017091
-4.336905171,-2.487519234,2.091709389
-4.361562455,-2.444025513,2.081709674
-4.385783578,-2.400287423,2.071709953
-4.409566119,-2.356309338,2.061710227
-4.432907699,-2.312095655,2.051710496
-4.455805986,-2.267650794,2.04171076
-4.478258689,-2.2229792,2.03171102
-4.500263565,-2.178085339,2.021711274
-4.521818412,-2.1329737,2.011711524
-4.542921076,-2.087648793,2.001711769
-4.563569447,-2.042115152,1.991712009
-4.583761461,-1.996377327,1.981712245
-4.603495098,-1.950439894,1.971712477
-4.622768386,-1.904307445,1.961712704
-4.641579397,-1.857984592,1.951712927
-4.659926251,-1.811475968,1.941713146
-4.677807114,-1.764786223,1.931713361
-4.695220198,-1.717920026,1.921713572
-4.712163761,-1.670882062,1.911713779
-4.72863611,-1.623677035,1.901713982
-4.744635597,-1.576309665,1.891714182
-4.760160624,-1.528784688,1.881714377
-4.775209637,-1.481106857,1.871714569
-4.789781133,-1.433280938,1.861714758
-4.803873653,-1.385311714,1.851714943
-4.81748579,-1.337203981,1.841715125
-4.830616182,-1.28896255,1.831715303
-4.843263517,-1.240592244,1.821715478
-4.855426529,-1.1920979,1.81171565
