epoch = 0, train-loss = 0.00217998206615448, eval_loss = 0.0014495377270680554
epoch = 1, train-loss = 0.0009641942381858826, eval_loss = 0.00023690976624218924
epoch = 2, train-loss = 0.000348443016409874, eval_loss = 0.0007525215733726069
epoch = 3, train-loss = 0.00022561388090252876, eval_loss = 0.002511149026312918
epoch = 4, train-loss = 0.00044546112418174743, eval_loss = 0.0038693212675598434
epoch = 5, train-loss = 0.0006313793361186981, eval_loss = 0.003973841104867324
epoch = 6, train-loss = 0.0007330627739429474, eval_loss = 0.0034960019138624084
epoch = 7, train-loss = 0.0006251832842826843, eval_loss = 0.002707584005481792
epoch = 8, train-loss = 0.0004748547077178955, eval_loss = 0.0018322928896490132
epoch = 9, train-loss = 0.000336361825466156, eval_loss = 0.0010919104207236811
epoch = 10, train-loss = 0.00022475505247712135, eval_loss = 0.0005469278625722201
epoch = 11, train-loss = 0.00019779248163104057, eval_loss = 0.00027906175983964275
epoch = 12, train-loss = 0.00022232003509998322, eval_loss = 0.00018899321977822287
epoch = 13, train-loss = 0.0002719972096383572, eval_loss = 0.0001859311541577555
epoch = 14, train-loss = 0.00032121505588293074, eval_loss = 0.00019783684808128286
epoch = 15, train-loss = 0.00034717999398708343, eval_loss = 0.00020437856327812628
epoch = 16, train-loss = 0.0003444020077586174, eval_loss = 0.00018739702074595217
epoch = 17, train-loss = 0.0003150021657347679, eval_loss = 0.00019872513652410148
epoch = 18, train-loss = 0.00027477348223328593, eval_loss = 0.0002485255904073985
epoch = 19, train-loss = 0.00023649785667657853, eval_loss = 0.0003455803852598622
epoch = 20, train-loss = 0.00020447278395295144, eval_loss = 0.0005336895163329142
epoch = 21, train-loss = 0.00019361067563295365, eval_loss = 0.0007517297734629433
epoch = 22, train-loss = 0.0002017790637910366, eval_loss = 0.0009872320125687798
epoch = 23, train-loss = 0.0002172959968447685, eval_loss = 0.0011356924924085725
epoch = 24, train-loss = 0.00023186221718788147, eval_loss = 0.0012332151802080982
epoch = 25, train-loss = 0.0002383602224290371, eval_loss = 0.0012485545198872405
epoch = 26, train-loss = 0.00023875182494521142, eval_loss = 0.0012222739323130194
epoch = 27, train-loss = 0.00023722343146800995, eval_loss = 0.0011147950898926214
epoch = 28, train-loss = 0.0002179640717804432, eval_loss = 0.0009400173318835925
epoch = 29, train-loss = 0.00021112453192472457, eval_loss = 0.0007336210670336237
epoch = 30, train-loss = 0.00019964657723903656, eval_loss = 0.0005679737495363883
epoch = 31, train-loss = 0.00019336767494678497, eval_loss = 0.00046763843241727574
epoch = 32, train-loss = 0.00019379690289497375, eval_loss = 0.00037122159352842365
epoch = 33, train-loss = 0.00019817953929305077, eval_loss = 0.00033247966389611083
epoch = 34, train-loss = 0.00020597122609615327, eval_loss = 0.00029578291863765354
epoch = 35, train-loss = 0.0002045012079179287, eval_loss = 0.00027093611095311507
epoch = 36, train-loss = 0.000206033643335104, eval_loss = 0.0002768093122626251
epoch = 37, train-loss = 0.0002087370865046978, eval_loss = 0.0003101104202697862
epoch = 38, train-loss = 0.0002023095078766346, eval_loss = 0.0003772622923243721
epoch = 39, train-loss = 0.00019820086658000946, eval_loss = 0.0004071404559994644
epoch = 40, train-loss = 0.00019072720780968666, eval_loss = 0.0004826383489482808
epoch = 41, train-loss = 0.00018801406025886535, eval_loss = 0.0005753501757698239
epoch = 42, train-loss = 0.0001905081048607826, eval_loss = 0.0006307052132093682
epoch = 43, train-loss = 0.00018616719171404839, eval_loss = 0.0007332713114765455
epoch = 44, train-loss = 0.00019344901666045188, eval_loss = 0.0006565250596910153
epoch = 45, train-loss = 0.0001888948306441307, eval_loss = 0.0006733553589514966
epoch = 46, train-loss = 0.00018968867138028145, eval_loss = 0.0005861791026479793
epoch = 47, train-loss = 0.0001952268183231354, eval_loss = 0.0005133211050393447
epoch = 48, train-loss = 0.00019047658890485763, eval_loss = 0.0004634885293132854
epoch = 49, train-loss = 0.00018509712070226668, eval_loss = 0.0004159477100057422
epoch = 50, train-loss = 0.00018270384520292283, eval_loss = 0.0004071715586590317
epoch = 51, train-loss = 0.00018714714795351029, eval_loss = 0.0004871296081340538
epoch = 52, train-loss = 0.0001875181496143341, eval_loss = 0.000386968325331526
epoch = 53, train-loss = 0.0001899975724518299, eval_loss = 0.0004293239271303393
epoch = 54, train-loss = 0.00019336065277457238, eval_loss = 0.0003844182235452364
epoch = 55, train-loss = 0.00018842533230781556, eval_loss = 0.0003682252300797768
epoch = 56, train-loss = 0.00018357219174504281, eval_loss = 0.0004132816322007269
epoch = 57, train-loss = 0.00017814505845308303, eval_loss = 0.0004594595575670026
epoch = 58, train-loss = 0.0001838752068579197, eval_loss = 0.0004501630604829428
epoch = 59, train-loss = 0.00018013402819633484, eval_loss = 0.0004953074638011321
epoch = 60, train-loss = 0.00017574258148670197, eval_loss = 0.00046903889555976075
