epoch = 0, train-loss = 0.0021384820342063905, eval_loss = 0.0011538111095158558
epoch = 1, train-loss = 0.0008639983832836151, eval_loss = 0.00020256592839393975
epoch = 2, train-loss = 0.00026608094573020934, eval_loss = 0.001218299961315011
epoch = 3, train-loss = 0.0002466029487550259, eval_loss = 0.003072351498423882
epoch = 4, train-loss = 0.0005109256878495217, eval_loss = 0.004209523493388914
epoch = 5, train-loss = 0.0007258274406194687, eval_loss = 0.004218857805683928
epoch = 6, train-loss = 0.0007159223407506943, eval_loss = 0.0034890554423602123
epoch = 7, train-loss = 0.0005903076753020287, eval_loss = 0.002462073598267897
epoch = 8, train-loss = 0.0004163239523768425, eval_loss = 0.0014660517280956483
epoch = 9, train-loss = 0.000268346481025219, eval_loss = 0.0007475112687866643
epoch = 10, train-loss = 0.00020188562572002412, eval_loss = 0.0003439560884012366
epoch = 11, train-loss = 0.00020743338391184806, eval_loss = 0.000203617163143068
epoch = 12, train-loss = 0.0002643268182873726, eval_loss = 0.00019386336910274794
epoch = 13, train-loss = 0.0003260507434606552, eval_loss = 0.00023001940253208268
epoch = 14, train-loss = 0.0003682743012905121, eval_loss = 0.00022951972161261542
epoch = 15, train-loss = 0.00037133101373910905, eval_loss = 0.00020589247205347384
epoch = 16, train-loss = 0.00034505106508731843, eval_loss = 0.0001818713609058902
epoch = 17, train-loss = 0.00029421500861644747, eval_loss = 0.00022270737813328797
epoch = 18, train-loss = 0.00024434739723801615, eval_loss = 0.0003302711993455887
epoch = 19, train-loss = 0.0002089727483689785, eval_loss = 0.0005297353315465855
epoch = 20, train-loss = 0.00019656311720609666, eval_loss = 0.0007973985992512613
epoch = 21, train-loss = 0.0002043168991804123, eval_loss = 0.00105047992096757
epoch = 22, train-loss = 0.0002258690632879734, eval_loss = 0.0012599044250992109
epoch = 23, train-loss = 0.0002488415315747261, eval_loss = 0.0013694087008260332
epoch = 24, train-loss = 0.00025820007547736165, eval_loss = 0.0013643029444622545
epoch = 25, train-loss = 0.00025772089138627053, eval_loss = 0.001248116763132923
epoch = 26, train-loss = 0.00024392338469624518, eval_loss = 0.001060251216843443
epoch = 27, train-loss = 0.0002256273478269577, eval_loss = 0.0008517020153549482
epoch = 28, train-loss = 0.00020763907581567765, eval_loss = 0.0006590957208624426
epoch = 29, train-loss = 0.00019873958081007004, eval_loss = 0.0005040992543382465
epoch = 30, train-loss = 0.00019629886373877524, eval_loss = 0.00038709579351937993
epoch = 31, train-loss = 0.00020143205299973487, eval_loss = 0.00032738283417134916
