epoch=0, train_loss=0.42887453, eval_loss=0.74747742, evalOverTrain=1.74288136
epoch=1, train_loss=0.01575613, eval_loss=0.91779833, evalOverTrain=58.25023537
epoch=2, train_loss=0.00242272, eval_loss=0.92837066, evalOverTrain=383.19311497
epoch=3, train_loss=0.00128932, eval_loss=0.93170941, evalOverTrain=722.63689166
epoch=4, train_loss=0.00084208, eval_loss=0.93444626, evalOverTrain=1109.68488999
epoch=5, train_loss=0.00053449, eval_loss=0.93407062, evalOverTrain=1747.59644555
epoch=6, train_loss=0.00036697, eval_loss=0.93373698, evalOverTrain=2544.44535432
epoch=7, train_loss=0.00024288, eval_loss=0.93559785, evalOverTrain=3852.07874953
epoch=8, train_loss=0.00018478, eval_loss=0.93343719, evalOverTrain=5051.56535424
epoch=9, train_loss=0.00014503, eval_loss=0.93467457, evalOverTrain=6444.68590871
epoch=10, train_loss=0.00011714, eval_loss=0.93422336, evalOverTrain=7975.26881232
epoch=11, train_loss=0.00008973, eval_loss=0.93740592, evalOverTrain=10447.43472524
epoch=12, train_loss=0.00006488, eval_loss=0.93424656, evalOverTrain=14399.98110827
epoch=13, train_loss=0.00005473, eval_loss=0.93232749, evalOverTrain=17036.56971692
epoch=14, train_loss=0.00004272, eval_loss=0.93715576, evalOverTrain=21937.30074325
epoch=15, train_loss=0.00003592, eval_loss=0.93523247, evalOverTrain=26036.93879596
epoch=16, train_loss=0.00003141, eval_loss=0.93542037, evalOverTrain=29781.45092486
epoch=17, train_loss=0.00002867, eval_loss=0.93501042, evalOverTrain=32617.62631349
epoch=18, train_loss=0.00002483, eval_loss=0.93415905, evalOverTrain=37626.61046213
epoch=19, train_loss=0.00002124, eval_loss=0.93250612, evalOverTrain=43901.46532581
epoch=20, train_loss=0.00001911, eval_loss=0.93565298, evalOverTrain=48969.39718467
epoch=21, train_loss=0.00001767, eval_loss=0.93340456, evalOverTrain=52834.11473059
epoch=22, train_loss=0.00001622, eval_loss=0.93510333, evalOverTrain=57654.24793402
epoch=23, train_loss=0.00001480, eval_loss=0.93340054, evalOverTrain=63071.84070749
epoch=24, train_loss=0.00001428, eval_loss=0.93526162, evalOverTrain=65487.28477247
epoch=25, train_loss=0.00001366, eval_loss=0.93420280, evalOverTrain=68376.25121116
epoch=26, train_loss=0.00001315, eval_loss=0.93354022, evalOverTrain=71016.16401577
epoch=27, train_loss=0.00001262, eval_loss=0.93410607, evalOverTrain=74017.20716844
epoch=28, train_loss=0.00001195, eval_loss=0.93466268, evalOverTrain=78227.74532055
epoch=29, train_loss=0.00001160, eval_loss=0.93647869, evalOverTrain=80720.92466268
epoch=30, train_loss=0.00001111, eval_loss=0.93526301, evalOverTrain=84153.11477517
epoch=31, train_loss=0.00000995, eval_loss=0.93242326, evalOverTrain=93708.01800471
epoch=32, train_loss=0.00001076, eval_loss=0.93056343, evalOverTrain=86466.72087658
epoch=33, train_loss=0.00000994, eval_loss=0.93643842, evalOverTrain=94211.07535220
epoch=34, train_loss=0.00000924, eval_loss=0.93275517, evalOverTrain=100911.61816727
epoch=35, train_loss=0.00001074, eval_loss=0.93371255, evalOverTrain=86905.35964915
epoch=36, train_loss=0.00000926, eval_loss=0.93382342, evalOverTrain=100821.63193637
epoch=37, train_loss=0.00000934, eval_loss=0.93776023, evalOverTrain=100403.36302880
epoch=38, train_loss=0.00000847, eval_loss=0.93432764, evalOverTrain=110340.79817698
epoch=39, train_loss=0.00000840, eval_loss=0.93278426, evalOverTrain=111095.38580095
epoch=40, train_loss=0.00000841, eval_loss=0.93290995, evalOverTrain=110952.69233957
epoch=41, train_loss=0.00000839, eval_loss=0.93511860, evalOverTrain=111445.73513418
epoch=42, train_loss=0.00000836, eval_loss=0.93328498, evalOverTrain=111660.99404137
epoch=43, train_loss=0.00000794, eval_loss=0.93592838, evalOverTrain=117869.29847429
epoch=44, train_loss=0.00000736, eval_loss=0.93412090, evalOverTrain=126927.44174723
epoch=45, train_loss=0.00000715, eval_loss=0.93611427, evalOverTrain=130990.37081740
