epoch=0, train_loss=0.00249379, eval_loss=0.93417355, evalOverTrain=374.60058165
epoch=1, train_loss=0.00017997, eval_loss=0.93526863, evalOverTrain=5196.89798123
epoch=2, train_loss=0.00008995, eval_loss=0.93448215, evalOverTrain=10389.05390703
epoch=3, train_loss=0.00005599, eval_loss=0.93407260, evalOverTrain=16681.57051749
epoch=4, train_loss=0.00003930, eval_loss=0.93825972, evalOverTrain=23874.84063211
epoch=5, train_loss=0.00003404, eval_loss=0.93508325, evalOverTrain=27466.18059941
epoch=6, train_loss=0.00002828, eval_loss=0.93634950, evalOverTrain=33106.22049968
epoch=7, train_loss=0.00002109, eval_loss=0.93475967, evalOverTrain=44326.51090743
epoch=8, train_loss=0.00002252, eval_loss=0.93099279, evalOverTrain=41332.06718456
epoch=9, train_loss=0.00002067, eval_loss=0.93239589, evalOverTrain=45113.67022785
epoch=10, train_loss=0.00001998, eval_loss=0.93474569, evalOverTrain=46781.74740299
epoch=11, train_loss=0.00001483, eval_loss=0.93336993, evalOverTrain=62956.09453794
epoch=12, train_loss=0.00001720, eval_loss=0.93675209, evalOverTrain=54451.63668141
epoch=13, train_loss=0.00001235, eval_loss=0.93362348, evalOverTrain=75605.38185483
epoch=14, train_loss=0.00001241, eval_loss=0.93381753, evalOverTrain=75235.93606374
