epoch=0, train_loss=0.00300368, eval_loss=0.93153538, evalOverTrain=310.13186860
epoch=1, train_loss=0.00025437, eval_loss=0.93457526, evalOverTrain=3674.09137603
epoch=2, train_loss=0.00013326, eval_loss=0.93183616, evalOverTrain=6992.85400409
epoch=3, train_loss=0.00008105, eval_loss=0.93730302, evalOverTrain=11565.11722886
epoch=4, train_loss=0.00005689, eval_loss=0.93095420, evalOverTrain=16363.37235525
epoch=5, train_loss=0.00004390, eval_loss=0.93438911, evalOverTrain=21286.83585401
epoch=6, train_loss=0.00003397, eval_loss=0.93498624, evalOverTrain=27524.16400021
epoch=7, train_loss=0.00002978, eval_loss=0.93598458, evalOverTrain=31432.20193196
epoch=8, train_loss=0.00002335, eval_loss=0.93377875, evalOverTrain=39995.63063227
epoch=9, train_loss=0.00002680, eval_loss=0.93533956, evalOverTrain=34901.01914847
epoch=10, train_loss=0.00002048, eval_loss=0.93537750, evalOverTrain=45679.95112670
epoch=11, train_loss=0.00001707, eval_loss=0.93383615, evalOverTrain=54712.40351609
epoch=12, train_loss=0.00001636, eval_loss=0.93761625, evalOverTrain=57302.87104565
epoch=13, train_loss=0.00001660, eval_loss=0.93536057, evalOverTrain=56353.65222495
epoch=14, train_loss=0.00001775, eval_loss=0.93504597, evalOverTrain=52666.40887973
