epoch=0, train_loss=0.02540907, eval_loss=0.91380288, evalOverTrain=35.96364549
epoch=1, train_loss=0.00276743, eval_loss=0.92984893, evalOverTrain=335.99772833
epoch=2, train_loss=0.00095117, eval_loss=0.93235633, evalOverTrain=980.21664994
epoch=3, train_loss=0.00045563, eval_loss=0.93597412, evalOverTrain=2054.24529355
epoch=4, train_loss=0.00026164, eval_loss=0.93255810, evalOverTrain=3564.28976988
epoch=5, train_loss=0.00017267, eval_loss=0.93774315, evalOverTrain=5430.71680732
epoch=6, train_loss=0.00012084, eval_loss=0.93499613, evalOverTrain=7737.38171844
epoch=7, train_loss=0.00008947, eval_loss=0.93444629, evalOverTrain=10443.93400161
epoch=8, train_loss=0.00006634, eval_loss=0.93555804, evalOverTrain=14101.96104948
epoch=9, train_loss=0.00005375, eval_loss=0.93219987, evalOverTrain=17344.01516447
epoch=10, train_loss=0.00004319, eval_loss=0.93716775, evalOverTrain=21697.71084981
epoch=11, train_loss=0.00003372, eval_loss=0.93445317, evalOverTrain=27715.79195172
epoch=12, train_loss=0.00002856, eval_loss=0.93510599, evalOverTrain=32745.79305150
epoch=13, train_loss=0.00002519, eval_loss=0.93348255, evalOverTrain=37052.04570998
epoch=14, train_loss=0.00001967, eval_loss=0.93652107, evalOverTrain=47612.92529709
