epoch=0, train_loss=0.09994439, eval_loss=0.82677408, evalOverTrain=8.27234064
epoch=1, train_loss=0.01117986, eval_loss=0.90996520, evalOverTrain=81.39324876
epoch=2, train_loss=0.00378191, eval_loss=0.92380031, evalOverTrain=244.26821892
epoch=3, train_loss=0.00169214, eval_loss=0.92997783, evalOverTrain=549.58829144
epoch=4, train_loss=0.00087579, eval_loss=0.93038790, evalOverTrain=1062.34547915
epoch=5, train_loss=0.00051418, eval_loss=0.93316880, evalOverTrain=1814.85151207
epoch=6, train_loss=0.00033743, eval_loss=0.93351482, evalOverTrain=2766.56692015
epoch=7, train_loss=0.00024183, eval_loss=0.93422133, evalOverTrain=3863.10015255
epoch=8, train_loss=0.00016711, eval_loss=0.93315067, evalOverTrain=5583.94955484
epoch=9, train_loss=0.00012413, eval_loss=0.93451663, evalOverTrain=7528.70997888
epoch=10, train_loss=0.00009760, eval_loss=0.93680994, evalOverTrain=9598.59004193
epoch=11, train_loss=0.00007512, eval_loss=0.93684001, evalOverTrain=12470.67120380
epoch=12, train_loss=0.00006072, eval_loss=0.93537882, evalOverTrain=15404.82954042
epoch=13, train_loss=0.00004907, eval_loss=0.93875864, evalOverTrain=19130.07236722
epoch=14, train_loss=0.00004013, eval_loss=0.93424667, evalOverTrain=23281.94752866
