epoch=0, train_loss=0.05119471, eval_loss=0.90756902, evalOverTrain=17.72779003
epoch=1, train_loss=0.00782055, eval_loss=0.92500018, evalOverTrain=118.27820481
epoch=2, train_loss=0.00302831, eval_loss=0.93088192, evalOverTrain=307.39338794
epoch=3, train_loss=0.00165497, eval_loss=0.93037459, evalOverTrain=562.17147068
epoch=4, train_loss=0.00105270, eval_loss=0.93210951, evalOverTrain=885.44954180
epoch=5, train_loss=0.00071470, eval_loss=0.93489618, evalOverTrain=1308.08961331
epoch=6, train_loss=0.00051518, eval_loss=0.93501441, evalOverTrain=1814.91136297
epoch=7, train_loss=0.00035226, eval_loss=0.93692096, evalOverTrain=2659.75880145
epoch=8, train_loss=0.00025865, eval_loss=0.93447689, evalOverTrain=3612.97084727
epoch=9, train_loss=0.00019448, eval_loss=0.93243364, evalOverTrain=4794.37882167
epoch=10, train_loss=0.00014717, eval_loss=0.93092219, evalOverTrain=6325.61429907
epoch=11, train_loss=0.00010862, eval_loss=0.93321178, evalOverTrain=8591.57460548
epoch=12, train_loss=0.00008613, eval_loss=0.93491038, evalOverTrain=10855.18691164
epoch=13, train_loss=0.00006564, eval_loss=0.93438449, evalOverTrain=14233.97730692
epoch=14, train_loss=0.00005181, eval_loss=0.93784783, evalOverTrain=18100.11279677
