
epoch=0, train_loss=42630.81023202, eval_loss=19683.41429249, evalOverTrain=0.46171804
epoch=1, train_loss=42277.64305526, eval_loss=19612.65791720, evalOverTrain=0.46390140
epoch=2, train_loss=41719.69722328, eval_loss=19391.48096388, evalOverTrain=0.46480397
epoch=3, train_loss=41643.93140987, eval_loss=19191.84806482, evalOverTrain=0.46085582
epoch=4, train_loss=40718.94364799, eval_loss=19013.07349769, evalOverTrain=0.46693435
epoch=5, train_loss=41692.98045977, eval_loss=18843.25821708, evalOverTrain=0.45195278
epoch=6, train_loss=40133.42612945, eval_loss=18441.86534675, evalOverTrain=0.45951385
epoch=7, train_loss=39104.49364390, eval_loss=18119.85881622, evalOverTrain=0.46337025
epoch=8, train_loss=37763.16564734, eval_loss=17855.88423515, evalOverTrain=0.47283865
epoch=9, train_loss=36977.26439276, eval_loss=17473.19116212, evalOverTrain=0.47253877
epoch=10, train_loss=35975.57960165, eval_loss=17157.69545574, evalOverTrain=0.47692617
epoch=11, train_loss=35698.44204050, eval_loss=16732.05810045, evalOverTrain=0.46870556
epoch=12, train_loss=35237.76680877, eval_loss=16279.67998301, evalOverTrain=0.46199522
epoch=13, train_loss=34439.14696369, eval_loss=16027.25811632, evalOverTrain=0.46537907
epoch=14, train_loss=33126.76688831, eval_loss=15671.86094668, evalOverTrain=0.47308755
epoch=15, train_loss=32541.76337161, eval_loss=15443.78315532, evalOverTrain=0.47458348
epoch=16, train_loss=31582.08093886, eval_loss=15047.98071045, evalOverTrain=0.47647211
epoch=17, train_loss=31241.51552641, eval_loss=14748.07619312, evalOverTrain=0.47206661
epoch=18, train_loss=30534.14884211, eval_loss=14524.90724812, evalOverTrain=0.47569386
epoch=19, train_loss=29161.70265980, eval_loss=14307.41634741, evalOverTrain=0.49062349
epoch=20, train_loss=29332.34486500, eval_loss=14044.03213208, evalOverTrain=0.47878996
epoch=21, train_loss=28352.52400933, eval_loss=13700.75844762, evalOverTrain=0.48322888
epoch=22, train_loss=28331.76668709, eval_loss=13459.60764683, evalOverTrain=0.47507124
epoch=23, train_loss=27011.23906696, eval_loss=13209.34002129, evalOverTrain=0.48903125
epoch=24, train_loss=26259.63976003, eval_loss=13001.39504252, evalOverTrain=0.49510942
epoch=25, train_loss=25276.28922761, eval_loss=12746.86715853, evalOverTrain=0.50430136
epoch=26, train_loss=25294.83721977, eval_loss=12458.58480041, evalOverTrain=0.49253469
epoch=27, train_loss=24158.83340891, eval_loss=12183.75073361, evalOverTrain=0.50431867
epoch=28, train_loss=23450.66808253, eval_loss=12027.85586041, evalOverTrain=0.51290035
epoch=29, train_loss=24390.66715012, eval_loss=11897.14166953, evalOverTrain=0.48777434
epoch=30, train_loss=22961.50601638, eval_loss=11699.26949050, evalOverTrain=0.50951664
epoch=31, train_loss=21999.24117292, eval_loss=11417.26805059, evalOverTrain=0.51898463
epoch=32, train_loss=22026.29164308, eval_loss=11244.76535335, evalOverTrain=0.51051559
epoch=33, train_loss=21522.26891774, eval_loss=11093.07091071, evalOverTrain=0.51542293
epoch=34, train_loss=20819.32832348, eval_loss=10908.93681146, evalOverTrain=0.52398121
epoch=35, train_loss=20333.69715115, eval_loss=10716.52931275, evalOverTrain=0.52703300
epoch=36, train_loss=19718.62348640, eval_loss=10525.79943426, evalOverTrain=0.53379991
epoch=37, train_loss=19514.34375695, eval_loss=10370.97988526, evalOverTrain=0.53145420
epoch=38, train_loss=18476.93812555, eval_loss=10272.68710253, evalOverTrain=0.55597345
epoch=39, train_loss=18310.02432859, eval_loss=10123.90473677, evalOverTrain=0.55291596
epoch=40, train_loss=17929.62095258, eval_loss=9931.28358611, evalOverTrain=0.55390371
epoch=41, train_loss=17267.01435708, eval_loss=9770.38479533, evalOverTrain=0.56584101
epoch=42, train_loss=17061.05374359, eval_loss=9643.45990478, evalOverTrain=0.56523237
epoch=43, train_loss=16021.09298641, eval_loss=9468.03899776, evalOverTrain=0.59097335
epoch=44, train_loss=16579.96383256, eval_loss=9377.80645763, evalOverTrain=0.56561079
epoch=45, train_loss=15475.68597772, eval_loss=9255.73546585, evalOverTrain=0.59808240
epoch=46, train_loss=14738.91378345, eval_loss=9118.06706488, evalOverTrain=0.61863901
epoch=47, train_loss=14795.16810210, eval_loss=9036.71143530, evalOverTrain=0.61078802
epoch=48, train_loss=14060.19381206, eval_loss=8922.65247424, evalOverTrain=0.63460380
epoch=49, train_loss=13985.50973723, eval_loss=8881.39996915, evalOverTrain=0.63504299
epoch=50, train_loss=13558.96069734, eval_loss=8695.01499046, evalOverTrain=0.64127444
epoch=51, train_loss=13549.42256352, eval_loss=8680.33939464, evalOverTrain=0.64064275
epoch=52, train_loss=12971.84270872, eval_loss=8534.78966644, evalOverTrain=0.65794736
epoch=53, train_loss=12685.71329708, eval_loss=8494.80924395, evalOverTrain=0.66963592
epoch=54, train_loss=11997.05450151, eval_loss=8414.05250321, evalOverTrain=0.70134319
epoch=55, train_loss=11635.18567264, eval_loss=8296.67003462, evalOverTrain=0.71306727
epoch=56, train_loss=11290.95785769, eval_loss=8235.41675614, evalOverTrain=0.72938159
epoch=57, train_loss=10699.71800058, eval_loss=8141.20478685, evalOverTrain=0.76088031
epoch=58, train_loss=10753.26698752, eval_loss=8061.02614359, evalOverTrain=0.74963508
epoch=59, train_loss=10250.27325397, eval_loss=8077.25659621, evalOverTrain=0.78800403
epoch=60, train_loss=10198.27997320, eval_loss=7987.56447973, evalOverTrain=0.78322663
epoch=61, train_loss=9882.59718618, eval_loss=7915.60954596, evalOverTrain=0.80096450
epoch=62, train_loss=9721.85517141, eval_loss=7909.80881587, evalOverTrain=0.81361105
epoch=63, train_loss=9115.52576928, eval_loss=7890.37426125, evalOverTrain=0.86559727
epoch=64, train_loss=9341.33226801, eval_loss=7831.42140302, evalOverTrain=0.83836236
epoch=65, train_loss=8471.09791244, eval_loss=7783.60731918, evalOverTrain=0.91884280
epoch=66, train_loss=8296.56826167, eval_loss=7729.97279601, evalOverTrain=0.93170725
epoch=67, train_loss=7755.96858685, eval_loss=7714.23756328, evalOverTrain=0.99461950
epoch=68, train_loss=7637.10278448, eval_loss=7674.46186281, evalOverTrain=1.00489179
epoch=69, train_loss=7182.82967174, eval_loss=7658.46242287, evalOverTrain=1.06621802
epoch=70, train_loss=7062.62685507, eval_loss=7604.14501980, evalOverTrain=1.07667376
epoch=71, train_loss=6703.87232750, eval_loss=7589.48749104, evalOverTrain=1.13210502
epoch=72, train_loss=6620.28949724, eval_loss=7557.83962332, evalOverTrain=1.14161769
epoch=73, train_loss=6597.59963862, eval_loss=7553.04496202, evalOverTrain=1.14481711
epoch=74, train_loss=6209.48963457, eval_loss=7536.05426295, evalOverTrain=1.21363505
epoch=75, train_loss=6140.62601441, eval_loss=7550.83176647, evalOverTrain=1.22965179
epoch=76, train_loss=6118.79143009, eval_loss=7498.49339112, evalOverTrain=1.22548603
epoch=77, train_loss=5487.76542503, eval_loss=7525.65729840, evalOverTrain=1.37135186
epoch=78, train_loss=5224.82729013, eval_loss=7513.13615729, evalOverTrain=1.43796833
epoch=79, train_loss=5152.70595088, eval_loss=7599.33515558, evalOverTrain=1.47482415
epoch=80, train_loss=4835.96227411, eval_loss=7623.12854985, evalOverTrain=1.57634161
epoch=81, train_loss=4848.89228368, eval_loss=7605.82255246, evalOverTrain=1.56856909
epoch=82, train_loss=4593.69680890, eval_loss=7631.66915009, evalOverTrain=1.66133497
epoch=83, train_loss=4357.57504446, eval_loss=7573.85066221, evalOverTrain=1.73808841
epoch=84, train_loss=4108.03422572, eval_loss=7581.21265565, evalOverTrain=1.84545995
epoch=85, train_loss=4059.98868447, eval_loss=7648.44740438, evalOverTrain=1.88385929
epoch=86, train_loss=3911.24752701, eval_loss=7695.73320997, evalOverTrain=1.96759043
epoch=87, train_loss=3690.55413847, eval_loss=7624.76611897, evalOverTrain=2.06602202
epoch=88, train_loss=3448.27996145, eval_loss=7695.50793520, evalOverTrain=2.23169465
epoch=89, train_loss=3320.64095151, eval_loss=7705.04501883, evalOverTrain=2.32034873
epoch=90, train_loss=3140.58467694, eval_loss=7676.93570486, evalOverTrain=2.44442882
epoch=91, train_loss=2968.10636283, eval_loss=7731.66110836, evalOverTrain=2.60491376
epoch=92, train_loss=2942.74371858, eval_loss=7791.46347052, evalOverTrain=2.64768672
epoch=93, train_loss=2840.03355078, eval_loss=7820.54812035, evalOverTrain=2.75368160
epoch=94, train_loss=2787.17279403, eval_loss=7799.45971394, evalOverTrain=2.79834093
